(Incl. Tax %s),(Incl. Tax %s)
Assign by:,Assign by:
Product IDs,Product IDs
Product SKUs,Product SKUs
Product Grid Multiselect,Product Grid Multiselect
Example:,Example:
"Hide ""Out of stock"" Options","Hide ""Out of stock"" Options"
"Select Options Templates and Save the product to apply options or <a href=""%s"" target=""_blank"">click here to define</a>","Select Options Templates and Save the product to apply options or <a href=""%s"" target=""_blank"">click here to define</a>"
Action,Action
Add Options,Add Options
Add Options Template,Add Options Template
New Template,New Template
Advanced Product Options,Advanced Product Options
All Store Views,All Store Views
Attrib. Set Name,Attrib. Set Name
Bundle with dynamic pricing cannot include custom defined options. Options will not be saved,Bundle with dynamic pricing cannot include custom defined options. Options will not be saved
Change Image,Change Image
Children,Children
Choose Store View,Choose Store View
Custom Options,Custom Options
Customer Groups,Customer Groups
Default Option Qty Field Label,Default Option Qty Field Label
Default Text,Default Text
Delete,Delete
Description,Description
Display Qty for Options on the Front-end,Display Qty for Options on the Front-end
Div CSS Class,Div CSS Class
Edit Template \'%s\',Edit Template \'%s\'
Enable Custom Options for Customer Groups,Enable Custom Options for Customer Groups
Enable Custom Options Inventory,Enable Custom Options Inventory
Enable Dependent Custom Options,Enable Dependent Custom Options
Enable Qnty Field for Custom Options on the Front-end,Enable Qnty Field for Custom Options on the Front-end
Enable Specifying CSS Class in Option Div,Enable Specifying CSS Class in Option Div
Enable Weight,Enable Weight
Enable Absolute Weight,Enable Absolute Weight
Enable Absolute Price,Enable Absolute Price
Enable Pre-populating Text for Input Options,Enable Pre-populating Text for Input Options
"Enable ""Starting at"" Price Prefix","Enable ""Starting at"" Price Prefix"
Id,Id
If you delete this item(s) all the options inside will be deleted as well?,If you delete this item(s) all the options inside will be deleted as well?
Images Above Options,Images Above Options
Is Dependent,Is Dependent
Is Disabled,Is Disabled
Hide Dependent Custom Options,Hide Dependent Custom Options
Manage Options Templates,Manage Options Templates
Manage Templates,Manage Templates
Name,Name
None,None
New Options Template,New Options Template
Options do not exist,Options do not exist
Options Information,Options Information
Options were successfully deleted,Options were successfully deleted
Options were successfully saved,Options were successfully saved
Options,Options
Out of stock,Out of stock
Please select Option(s),Please select Option(s)
Options Template:,Options Template:
Options Templates,Options Templates
Price,Price
Template Options,Template Options
Products,Products
Product prices reindexed (100%)...,Product prices reindexed (100%)...
Qnty Input,Qnty Input
Qty,Qty
Save And Continue Edit,Save And Continue Edit
Save,Save
Select All,Select All
Select Children,Select Children
Select Visible,Select Visible
SKU,SKU
Show Qty per Option in Cart,Show Qty per Option in Cart
"Some options are not available for your customer group. Please, edit product ""%s""","Some options are not available for your customer group. Please, edit product ""%s"""
Some options are not available for your customer group,Some options are not available for your customer group
Status,Status
Starting applying options to products...,Starting applying options to products...
Starting at,Starting at
There are no Options,There are no Options
Title,Title
Total of %d record(s) were successfully deleted,Total of %d record(s) were successfully deleted
Total of %d record(s) were successfully updated,Total of %d record(s) were successfully updated
Total %1$s, processed %2$s products (%3$s%%)...,Total %1$s, processed %2$s products (%3$s%%)...
Type,Type
Unable to find Options to save,Unable to find Options to save
Unselect All,Unselect All
Unselect Visible,Unselect Visible
Unassigned options removed (100%)...,Unassigned options removed (100%)...
Visibility,Visibility